Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-02-14T23:00:00.000Z,3558.3968581047,3569.5548371285,3587.7735125697,3536.4280980834
BTC,2019-02-15T22:59:59.000Z,3566.2477646317,3555.1994796906,3617.5201309069,3542.4125039588
BTC,2019-02-16T22:59:59.000Z,3596.4051912371,3566.2371496053,3607.9635038149,3564.6096749623
BTC,2019-02-17T22:59:59.000Z,3606.1519884106,3596.3886153738,3662.6204110155,3558.7572134915
BTC,2019-02-18T23:00:00.000Z,3865.3181649793,3606.1329608472,3925.1213667493,3598.9242555342
BTC,2019-02-19T23:00:00.000Z,3904.4829202328,3869.8341042032,3975.8895982273,3842.3006851046
BTC,2019-02-20T22:59:59.000Z,3924.7398439211,3904.4656441042,3964.5554961653,3861.1203422816
BTC,2019-02-21T23:00:00.000Z,3889.7584851849,3924.7398438411,3979.0579285253,3870.9501631812
BTC,2019-02-22T22:59:59.000Z,3933.6075896328,3898.5078671278,3953.5348129144,3889.6196960051
BTC,2019-02-23T22:59:59.000Z,4105.1127585961,3933.6061118916,4146.0112742329,3912.7441268992
BTC,2019-02-24T22:59:59.000Z,3763.6205157956,4105.0951884909,4178.6586138045,3697.8200197762
BTC,2019-02-25T22:59:59.000Z,3819.8653414425,3763.6221670583,3852.370301297,3729.6852140889
BTC,2019-02-26T22:59:59.000Z,3797.5817895103,3819.8793160372,3831.0290648074,3762.2121951164
BTC,2019-02-27T23:00:00.000Z,3772.9363353275,3796.6372843084,3824.1658793727,3666.5240164294
BTC,2019-02-28T22:59:59.000Z,3799.678542951,3773.4414607526,3879.2311846694,3753.8000224646
BTC,2019-03-01T22:59:59.000Z,3811.6119793671,3799.3670260062,3840.0448230745,3788.9184983301
BTC,2019-03-02T22:59:59.000Z,3804.4191701095,3806.6915127875,3819.1943561235,3759.4092164743
BTC,2019-03-03T22:59:59.000Z,3782.6641011218,3807.8457559152,3818.6954813471,3766.2420482277
BTC,2019-03-04T22:59:59.000Z,3689.8628931904,3783.3550634445,3804.3536162349,3663.4777433591
BTC,2019-03-05T22:59:59.000Z,3832.0808847342,3701.0498710337,3866.7187042421,3688.6971538467
BTC,2019-03-06T22:59:59.000Z,3848.9563696825,3832.5924290751,3881.9657697745,3802.516053637
BTC,2019-03-07T22:59:59.000Z,3859.8399833296,3848.9563673107,3890.7454923564,3827.6703034796
BTC,2019-03-08T23:00:00.000Z,3828.3719040694,3859.800616241,3917.9975657866,3778.5164813299
BTC,2019-03-09T23:00:00.000Z,3898.8684595605,3841.8871376912,3948.8841402936,3832.1449117909
BTC,2019-03-10T22:59:59.000Z,3899.6558689562,3916.7561923023,3921.934211189,3865.9157812103
BTC,2019-03-11T22:59:59.000Z,3851.2491896498,3899.4592741125,3913.4555196012,3819.9289426072
BTC,2019-03-12T22:59:59.000Z,3866.2959463248,3851.6238815417,3879.9716038316,3795.675857003
BTC,2019-03-13T23:00:00.000Z,3846.2744415121,3866.295956546,3873.719094248,3823.8087959307
BTC,2019-03-14T22:59:59.000Z,3855.7443626577,3846.2744497219,3897.7257096203,3792.3919138171
BTC,2019-03-15T22:59:59.000Z,3892.0523011383,3855.7443243866,3908.2782944187,3843.4489631821
BTC,2019-03-16T22:59:59.000Z,3985.8512364813,3892.0522289395,4033.6827769674,3891.8183691166
BTC,2019-03-17T23:00:00.000Z,3970.3890446061,3989.5366651403,3992.6055063928,3931.5821801678
BTC,2019-03-18T23:00:00.000Z,3974.4157640954,3970.3835971649,4020.8924136856,3931.6740294885
